,Bias,Validation accuracy,Validation FPR
0,-10,63.2,0.0
1,-9,67.525,0.0
2,-8,71.95,0.0
3,-7,77.14999999999999,0.0
4,-6,82.27499999999999,0.0
5,-5,86.8,0.05
6,-4,90.2,0.15
7,-3,93.15,0.35000000000000003
8,-2,95.25,0.8
9,-1,96.25,1.7999999999999998
10,0,96.55,3.3000000000000003
11,1,95.625,6.7
12,2,92.975,12.8
13,3,89.17500000000001,21.05
14,4,83.775,32.15
15,5,78.125,43.6
16,6,71.8,56.3
17,7,66.175,67.55
18,8,61.3,77.35
19,9,57.45,85.1
