,Vocabulary size,Validation accuracy,Validation FPR
0,1000,94.69999999999999,5.8500000000000005
1,2000,95.35,4.95
2,3000,95.775,4.3999999999999995
3,4000,96.025,4.2
4,5000,96.25,3.9
5,6000,96.39999999999999,3.5000000000000004
6,7000,96.375,3.55
7,8000,96.525,3.45
8,9000,96.55,3.45
9,10000,96.6,3.45
