,Bias,Validation accuracy,Validation FPR
150,"[3, -3]",93.27499999999999,0.44999999999999996
151,"[3, -4]",91.64999999999999,0.35000000000000003
152,"[3, -5]",89.75,0.25
153,"[3, -6]",87.52499999999999,0.1
154,"[4, 7]",93.60000000000001,11.899999999999999
155,"[4, 6]",95.075,8.649999999999999
156,"[4, 5]",96.075,6.4
157,"[4, 4]",96.675,4.25
158,"[4, 3]",96.875,3.05
159,"[4, 2]",97.0,2.0500000000000003
160,"[4, 1]",96.75,1.15
161,"[4, 0]",95.8,0.8500000000000001
162,"[4, -1]",94.89999999999999,0.5499999999999999
163,"[4, -2]",93.27499999999999,0.44999999999999996
164,"[4, -3]",91.64999999999999,0.35000000000000003
165,"[4, -4]",89.75,0.25
166,"[4, -5]",87.52499999999999,0.1
167,"[4, -6]",84.95,0.05
168,"[5, 7]",95.075,8.649999999999999
169,"[5, 6]",96.075,6.4
170,"[5, 5]",96.675,4.25
171,"[5, 4]",96.875,3.05
172,"[5, 3]",97.0,2.0500000000000003
173,"[5, 2]",96.75,1.15
174,"[5, 1]",95.8,0.8500000000000001
175,"[5, 0]",94.89999999999999,0.5499999999999999
176,"[5, -1]",93.27499999999999,0.44999999999999996
177,"[5, -2]",91.64999999999999,0.35000000000000003
178,"[5, -3]",89.75,0.25
179,"[5, -4]",87.52499999999999,0.1
180,"[5, -5]",84.95,0.05
181,"[5, -6]",82.45,0.05
182,"[6, 7]",96.075,6.4
183,"[6, 6]",96.675,4.25
184,"[6, 5]",96.875,3.05
185,"[6, 4]",97.0,2.0500000000000003
186,"[6, 3]",96.75,1.15
187,"[6, 2]",95.8,0.8500000000000001
188,"[6, 1]",94.89999999999999,0.5499999999999999
189,"[6, 0]",93.27499999999999,0.44999999999999996
190,"[6, -1]",91.64999999999999,0.35000000000000003
191,"[6, -2]",89.75,0.25
192,"[6, -3]",87.52499999999999,0.1
193,"[6, -4]",84.95,0.05
194,"[6, -5]",82.45,0.05
195,"[6, -6]",79.425,0.05
