,Learning rates,Validation accuracy,Validation precision
0,1e-05,84.275,76.93516699410608
1,3e-05,84.575,77.32121691031213
2,0.0001,85.075,78.20667470848412
3,0.0003,86.325,80.00826104915323
4,0.001,87.75,84.07039711191335
5,0.003,87.94999999999999,88.21752265861026
6,0.01,85.2,89.41769316909294
7,0.03,85.1,90.5311778290993
