,Learning rates,Validation accuracy,Validation precision,Train accuracy
0,1e-05,91.375,89.57436633189862,91.74166666666666
1,3e-05,92.675,91.45216124332201,93.40416666666667
2,0.0001,93.525,92.65066144047036,94.77083333333334
3,0.0003,94.35,93.56581532416503,95.4125
4,0.001,94.69999999999999,94.03940886699507,95.82083333333333
5,0.003,94.69999999999999,94.21364985163204,96.04583333333333
6,0.01,94.075,95.04343382728666,95.8625
7,0.03,92.975,94.88250652741515,94.85
